RECORDID,CONCEPTID,COMPANYID,EMPLOYEETYPEID,POSITIONTYPEID,EMPLOYEESTATUSID,JOBSTATUSID,CLASSIFICATIONID,GROUPGRADELEVELID,INTEGRATIONID,JOURNEYID,WORKINGHOURS,ADDITIONALSHIFT,LEVELID,ECONOMICZONEID,SERVICEID,ANTIQUITYID,ANTIQUITY2ID,ANTIQUITY3ID,ANTIQUITY4ID,FORRISK,GENDERID,HASCHILDREN,SCHOOLARSHIPID,HASSYNDICATE,STARTDATE,ENDDATE,REGISTRATIONSTARTDATE,REGISTRATIONENDDATE,AUTHORIZATIONDATE,CONCEPTAMOUNT,CURRENCYID,CONCEPTQTTYID,CONCEPTTYPEID,APPLIESTOID,CONCEPTMIN,CONCEPTMINQTTYID,CONCEPTMAX,CONCEPTMAXQTTYID,POSITIONID,STARTUSERID,ENDUSERID,STATUSID
12345927,1,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,955,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20101201,30000000,20111226,0,20111226,3302.41,0,1,1,-1,0,1,0,1,1190,2,2,1
12345928,3,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,957,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20101201,30000000,20111226,0,20111226,2335.375,0,1,1,-1,0,1,0,1,1175,2,2,1
12345929,3,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,951,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20101201,30000000,20111226,0,20111226,4761.885,0,1,1,-1,0,1,0,1,1173,2,2,1
12345930,3,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,954,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20101201,30000000,20111226,0,20111226,5257.035,0,1,1,-1,0,1,0,1,1176,2,2,1
12345931,3,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,955,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20101201,30000000,20111226,0,20111226,5450.095,0,1,1,-1,0,1,0,1,1177,2,2,1
12345932,3,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,950,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20101201,30000000,20111226,0,20111226,4529.26,0,1,1,-1,0,1,0,1,1178,2,2,1
12345933,3,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,952,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20101201,30000000,20111226,0,20111226,4998.98,0,1,1,-1,0,1,0,1,1174,2,2,1
12345934,3,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,957,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20101201,30000000,20111226,0,20111226,2335.375,0,1,1,-1,0,1,0,1,1179,2,2,1
12345935,3,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,950,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20101201,30000000,20111226,0,20111226,4529.26,0,1,1,-1,0,1,0,1,1171,2,2,1
12345936,3,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,952,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20101201,30000000,20111226,0,20111226,4998.98,0,1,1,-1,0,1,0,1,1180,2,2,1
12345937,3,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,958,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20101201,30000000,20111226,0,20111226,4882.64,0,1,1,-1,0,1,0,1,1181,2,2,1
12345938,3,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,958,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20101201,30000000,20111226,0,20111226,4882.64,0,1,1,-1,0,1,0,1,1182,2,2,1
12345939,3,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,951,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20101201,30000000,20111226,0,20111226,4761.885,0,1,1,-1,0,1,0,1,1183,2,2,1
12345940,3,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,957,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20101201,30000000,20111226,0,20111226,2335.375,0,1,1,-1,0,1,0,1,1184,2,2,1
12345941,3,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,953,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20101201,30000000,20111226,0,20111226,4083.37,0,1,1,-1,0,1,0,1,1185,2,2,1
12345942,3,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,956,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20101201,30000000,20111226,0,20111226,972.95,0,1,1,-1,0,1,0,1,1186,2,2,1
12345943,3,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,957,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20101201,30000000,20111226,0,20111226,2335.375,0,1,1,-1,0,1,0,1,1187,2,2,1
12345944,3,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,953,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20101201,30000000,20111226,0,20111226,4083.37,0,1,1,-1,0,1,0,1,1188,2,2,1
12345945,3,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,953,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20101201,30000000,20111226,0,20111226,4083.37,0,1,1,-1,0,1,0,1,1189,2,2,1
12345946,3,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,950,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20101201,30000000,20111226,0,20111226,4529.26,0,1,1,-1,0,1,0,1,1172,2,2,1
12345947,3,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,955,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20101201,30000000,20111226,0,20111226,5450.095,0,1,1,-1,0,1,0,1,1190,2,2,1
27399,1,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,950,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20100101,30000000,30000000,30000000,30000000,3065.315,0,1,1,-1,0,1,0,1,1171,-10,-10,1
27400,3,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,950,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20100101,30000000,30000000,30000000,30000000,4529.26,0,1,1,-1,0,1,0,1,1171,-10,-10,1
